,IFC,Master Format,eBPK,Master Format indexes,eBPK indexes
899,guding structure,"['Deadend Structures' 'Structure Demolition'
 'Single-Walled Air-Supported Structures']",['Small structure' 'Construction mine' 'Construction inclined roof'],[6361  660 3410],[252  42  69]
900,high waterline,"['High rate Clarification/Thickening Equipment'
 'High Temperature Process Equipment Insulation'
 'High Temperature Process Piping Insulation']","['Grand kitchen distribution' 'Grand kitchen storage'
 'Grand kitchen supply']",[8586 7165 7159],[206 205 203]
901,land field,['Land Assessment' 'Drainage Field System' 'Athletic Field Equipment'],['Land registry fee' 'Field level' 'Seed area'],[ 619 6158 2962],[  6  88 257]
902,leeward side,"['Side Coiling Doors' 'Side Coiling Grilles'
 'Slope Protection with Slope Paving']",['Roof inclined' 'Element to inclined roof' 'Construction inclined roof'],[1863 1864 5408],[165 168  69]
903,low waterline,"['Low Density Concrete' 'Low Temperature Process Equipment Insulation'
 'Low Temperature Process Piping Insulation']",['Low current line' 'Small component' 'Small structure'],[ 822 7163 7157],[ 29 188 252]
904,manufacturing,"['Manufacturing Equipment' 'Biopharmaceutical Manufacturing Equipment'
 'Schedules for Manufacturing Equipment']",['Commissioning building' 'Provisional building' 'Building acquisition'],[7526 8444 7404],[318  25   2]
905,navigational area,"['Facility Area Drains' 'Stormwater Area Drains and Inlets'
 'Temporary Parking Areas']","['Seed area' 'Fixed equipment for the area'
 'Mobile equipment for the surrounding area']",[3769 6207  441],[257 278 277]
906,protection,"['Electrical Protection' 'Exterior Protection'
 'Slope Protection Scour Protection']",['Protection system to roof' 'Perimeter protection' 'Sun protection'],[4670 2658 6812],[169 276 161]
907,ship transfer,"['Package Transfer Units' 'Liquid Chemical Transfer Pumps'
 'Passenger Intermodal Transfer Machines']","['Material transport system' 'Transport system for the environment'
 'Medical means of transportation']",[2833 8545 6622],[243 275 223]
908,storage area,"['Storage Area Network for Electronic Safety and Security'
 'Foodservice Storage Equipment' 'Storage Silos']",['Storage device' 'Seed area' 'Production system storage'],[4944 2856 8550],[245 257 195]
909,vehicle servicing,"['Vehicle Service Equipment' 'Vehicle Delineators'
 'Compressed-Air Vehicle Service Equipment']","['Load and service elevator' 'Additional costs for planning services'
 'VAT']",[2752 6636 2753],[144 298 327]
910,water field,['Drainage Field System' 'Athletic Field Equipment' 'Field Samples'],['Field level' 'Water distribution' 'Water treatment'],[6158 2962  402],[ 88 125 123]
911,weather side,['Weather Barriers' 'Weather Stations' 'Weather Observation Equipment'],"['Weather related construction measures' 'Roof inclined'
 'Element to inclined roof']",[1496 4034 6600],[ 20 165 168]
912,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
913,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
914,bollard,"['Precast Concrete Bollards' 'Manufactured Metal Bollards'
 'Precast Concrete Security Bollards']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[ 866 5799  867],[327 102 104]
915,linetensi oner,"['Decentralized Unitary HVAC Equipment'
 'Decentralized Unitary HVAC Equipment Schedule'
 'Air-Source Unitary Heat Pumps']",['Advice on planning' 'Lying on the outside' 'Wastewater fitting'],[4330 4005 4350],[299  72 132]
916,magnetic device,"['Magnetic Investigations' 'Magnetic Separators'
 'Magnetic Investigations Information']",['Device for treatment' 'Storage device' 'Mobile device'],[ 644 7520   73],[215 245 287]
917,mooring hooks,['Quick-Release Mooring Hooks' 'Hooks' 'Hook Scaffolding'],['Lifting' 'Lifting device' 'Advice on planning'],[6853 7508 3571],[ 18 148 299]
918,vacuum device,"['Vacuum Degasifiers' 'Gas-handling Vacuum Pumps'
 'Regenerative Vacuum Pumps']",['Device for treatment' 'Storage device' 'Mobile device'],[8137 7873 8092],[215 245 287]
919,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
920,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
921,beacon,['Lighthouse Equipment' 'Airport Beacon Towers' 'Airport Rotating Beacons'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6714 6585 6583],[327 102 104]
922,buoy,['Buoys' 'Navigation Buoys' 'Mooring Buoys'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6848 6851 6849],[327 102 104]
923,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
924,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
925,move,['Moving Ramps' 'Structure Moving' 'Moving Walks'],['Operating effort' 'Provisional work management' 'working space'],[3539  673 3538],[323  24  17]
926,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
927,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
928,asbuilt area,"['Facility Area Drains' 'Stormwater Area Drains and Inlets'
 'Temporary Parking Areas']","['Seed area' 'Fixed equipment for the area'
 'Mobile equipment for the surrounding area']",[3769 6207  441],[257 278 277]
929,asbuilt line,['Finishing/Painting Lines' 'Machining Lines' 'Rolling/Calendaring Lines'],['Rainwater line' 'Gas line' 'Power line'],[7537 7535 7543],[34 35 28]
930,asbuilt point,"['Point of Sale Systems' 'Data Communications Wireless Access Points'
 'Point Supported All-Glass Storefronts']",['Signal' 'Management level' 'Automation level'],[4867 4795 1911],[284  86  87]
931,assumed area,"['Facility Area Drains' 'Stormwater Area Drains and Inlets'
 'Temporary Parking Areas']","['Seed area' 'Fixed equipment for the area'
 'Mobile equipment for the surrounding area']",[3769 6207  441],[257 278 277]
932,assu medline,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
933,assumed point,"['Point of Sale Systems' 'Data Communications Wireless Access Points'
 'Point Supported All-Glass Storefronts']",['Signal' 'Management level' 'Automation level'],[4867 4795 1911],[284  86  87]
934,non_physical_ signal,"['Signal Controllers' 'Signal Conditioners and Converters'
 'Signaling Equipment for Waterways']",['Signal' 'Management level' 'Automation level'],[4969 7375 6710],[284  86  87]
935,superelevation event,"['Common Work Results for HVAC' 'Common Work Results for Equipment'
 'Common Work Results for Concrete']",['Individual planting' 'Water supply' 'Production system supply'],[3972 2734  798],[260 122 193]
936,width event,"['Common Work Results for HVAC' 'Common Work Results for Equipment'
 'Common Work Results for Concrete']",['Individual planting' 'Water supply' 'Production system supply'],[3972 2734  798],[260 122 193]
937,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
938,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
939,arched,['Plasma Arc Gasification Equipment' 'Arch Dams' 'Concrete Arch Dams'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8334 6870 6871],[327 102 104]
940,cable_ stayed,"['Hook Sticks' 'Panic Hardware Delayed Egress Devices'
 'Magnetic Lock Delayed Egress Devices']",['retaining wall' 'Podest lying outside' 'Lying on the outside'],[6384 5023 5022],[249  71  72]
941,cantilever,"['Cantilever Bridge Machinery' 'Cantilever Metal Storage Shelving'
 'Cantilever Storage Racks']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6671 2627 2641],[327 102 104]
942,culvert,"['Stormwater Culverts' 'Corrugated Metal Culvert Pipe'
 'Non-Reinforced Concrete Sewer and Culvert Pipe']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6199 5956 5989],[327 102 104]
943,framework,['Fabrics' 'Fabric Canopies' 'Fabric Awnings'],['Facade framework' 'Material installation' 'Medical textiles'],[3043 2679 2675],[ 49  43 221]
944,girder,"['Steel Joist Girder Framing'
 'Electrical Power Generation Voltage Test Equipment' 'Bells']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1107 8773 2930],[327 102 104]
945,suspension,['Suspension Systems' 'Metal Suspension Systems' 'Suspension Insulators'],['severance pay' 'Cold storage' 'Heat source'],[2131 2132 6339],[  9 112 104]
946,truss,"['Cold-Formed Metal Trusses' 'Wood Truss Schedule'
 'Cold-Formed Metal Roof Trusses']",['Tied stairs' 'Electro acoustic loudspeaker system' 'Heat source'],[1127 1235 1128],[ 59 103 104]
947,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
948,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
949,abutment,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
950,deck,"['Asphaltic Perlite Concrete Deck' 'Roof and Deck Insulation'
 'Metal Decking']",['Flooring' 'Floor marking' 'Sub construction to flooring'],[1489 1488 1109],[177 268 176]
951,deck_ segment,"['End Sections for Stormwater Piping'
 'Reinforced Concrete Box Sections for Sewers and Culverts'
 'Concrete End Sections for Stormwater Piping']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6202 5994 6206],[327 102 104]
952,foundation,"['Foundation Commissioning' 'Foundation Drainage'
 'Geocomposite Foundation Drainage']",['Foundation' 'foundation' 'Substructure foundation'],[ 559 6183 6185],[265  57  56]
953,pier,['Underpinning Piers' 'Bridge Pier Protection' 'Jacked Piers'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[5448 6680 5450],[327 102 104]
954,pier_ segment,"['End Sections for Stormwater Piping'
 'Reinforced Concrete Box Sections for Sewers and Culverts'
 'Concrete End Sections for Stormwater Piping']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6202 5994 6206],[327 102 104]
955,pylon,"['Post and Panel/Pylon Signage'
 'Electrical Power Generation Voltage Test Equipment' 'Bells']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2481 8773 2930],[327 102 104]
956,substructure,"['Facility Substructure Commissioning'
 'Facility Substructure Performance Requirements'
 'Foundation Commissioning']",['Substructure foundation' 'Foundation' 'foundation'],[558 522 559],[ 56 265  57]
957,superstructure,"['Superstructure Commissioning' 'Superstructure Performance Requirements'
 'Electrical Power Generation Voltage Test Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[ 562  526 8773],[327 102 104]
958,surface structure,"['Surface Removal Decontamination' 'Asphalt Surface Treatment'
 'Deadend Structures']","['Surface drainage for the environment' 'Natural water surface'
 'Small structure']",[ 688 5562 6361],[274 262 252]
959,user defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']",['User' 'Fixed equipment for the area' 'Planting'],[6071 6072 6073],[304 278 258]
960,not defined,"['Reservoir Weight-tensioned, Defined Sump Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polyethylene-reinforced Floating Covers'
 'Reservoir Weight-tensioned, Defined Sump Polypropylene-reinforced Floating Covers']","['Non contaminated excavation' 'Non contaminated dismantling'
 'Fixed equipment for the area']",[6071 6072 6073],[ 39  37 278]
961,railway line,['Railway Line' 'Finishing/Painting Lines' 'Machining Lines'],['Rainwater line' 'Gas line' 'Power line'],[6640 7537 7535],[34 35 28]
962,railway track,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],['Heat train investment share' 'Rainwater line' 'Gas line'],[6509 6530 6499],[109  34  35]
963,abutment,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
964,accessory_ assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']",['Wastewater collection' 'Podest lying outside' 'Lying on the outside'],[4610 1949 1950],[131  71  72]
965,arch,['Arch Dams' 'Concrete Arch Dams' 'Corrugated Metal Culvert Arch Pipe'],['Wet extinguisher' 'VAT' 'Refrigeration'],[6870 6871 5958],[ 99 327 111]
966,beam_ grid,['Suspended Decorative Grids' 'Tree Grids' 'Entrance Floor Grids'],['Storage device' 'Production system storage' 'Laboratory system storage'],[2237 5849 3195],[245 195 200]
967,braced_ frame,['Stainless-Steel Frames' 'Wood-Veneer Frames' 'Doors and Frames'],['Border' 'Border' 'Perimeter contribution'],[1805 1336 1781],[266 261   3]
968,cross_ bracing,"['Bracing and Anchoring' 'Buckling Restrained Braces'
 'Stabilized Insulated Rammed Earth Walls']",['Firm partition' 'Fire alarm system' 'VAT'],[ 486 1085 3441],[170  97 327]
969,deck,"['Asphaltic Perlite Concrete Deck' 'Roof and Deck Insulation'
 'Metal Decking']",['Flooring' 'Floor marking' 'Sub construction to flooring'],[1489 1488 1109],[177 268 176]
970,dilatation panel,['Panel Doors' 'Wall-Mounted Panels' 'Tile-Faced Panels'],['Room automation' 'Storey blanket' 'VAT'],[1890 7217 1559],[ 89  65 327]
971,entrance works,['Work Restrictions' 'Entrances' 'Entrance Schedule'],"['Provisional work management' 'working space'
 'Traffic plant outside property']",[ 281 1912 1772],[24 17 55]
972,girder,"['Steel Joist Girder Framing'
 'Electrical Power Generation Voltage Test Equipment' 'Bells']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1107 8773 2930],[327 102 104]
